"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 2/8/16, 8:02:28 PM"


47
X,Y
-89.4977,1.83304,
-87.3275,3.35908,
-85.4906,5.19099,
-83.1525,7.78641,
-80.8132,11.4513,
-78.1406,14.9632,
-75.6338,19.3920,
-72.4594,24.1257,
-69.1182,28.8593,
-65.7769,33.5929,
-63.4376,37.4107,
-59.2607,43.6715,
-54.4144,52.0707,
-51.7408,56.4993,
-49.5690,59.5532,
-47.2294,63.6766,
-44.3888,68.2578,
-39.7111,74.8237,
-33.6983,81.9997,
-29.6906,85.9688,
-24.6819,89.9371,
-20.0075,93.2944,
-13.8321,96.3450,
-9.65969,98.1749,
-4.98731,99.5460,
0.184601,100,
10.1922,98.3108,
16.1951,95.7083,
20.0296,93.4132,
24.8641,90.0478,
29.6983,86.5295,
34.0307,81.6366,
39.3626,75.3678,
43.6938,69.2526,
47.8585,63.4431,
51.3555,57.3285,
54.1862,52.1313,
58.3505,46.0162,
62.0144,39.9016,
65.1789,34.8569,
70.0093,27.5189,
75.1733,20.1807,
78.3381,15.4416,
81.8358,9.93819,
84.5012,6.26900,
86.8344,3.97519,
90.1685,1.68053,
